"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(POL)","Value_OUT(POL)","CurrentValue @ $0.199566968991853/POL","TxnFee(POL)","TxnFee(USD)","Historical $Price/POL","Status","ErrCode","Method"
"0xd9d69c2839634428e7f47989462425bba7bb5875a94015f093d922257ef4113b","36305921","1669923586","2022-12-01 19:39:46","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0xafb3be01ffc3bfb656de0af94f1de37f2bb09c12cd1bb57b4dd627a90263629c","36305922","1669923588","2022-12-01 19:39:48","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x614d5b7e47932e980d4e92aa14ce19a037f1ac027eb98f226925a9aeb5a96897","36305922","1669923588","2022-12-01 19:39:48","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0xa7e9152d838f4c997059facd5456963ad82717e67519a16f917a3600c236b523","36305922","1669923588","2022-12-01 19:39:48","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x4454559f26b2e60e8f6a34a3e23c5a5848fd41d65c94d76fc6b244e901131c36","36305923","1669923590","2022-12-01 19:39:50","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xb12145bd2aa5a88cc1de7d800a001a4af1090141","","0","0.011199944017234877","0.002235138880398","0.004799976007365","0.000957916663023449","0.91","","","Transfer"
"0x419bb81ec6f93d0ac529d1929a4be4c2a71936d61f6b7d6f56ac9ed2d2e5bf1d","36305923","1669923590","2022-12-01 19:39:50","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.012639936819454877","0.00252251387930713","0.003359983205145","0.000670541664114319","0.91","","","Transfer"
"0xe2974768fc40e2ad3251a87ec6a40913b9dc773d31fc83360e9f90404c8661bd","36305924","1669923592","2022-12-01 19:39:52","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x0bf0fb59bfea27e43e8de0f553048889652e9d8ce954ee8a42b3e323f6f0efb6","36305925","1669923594","2022-12-01 19:39:54","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x25689ffcf9fe8e097c701d6b6869b64b188adb5af9a36745527862d27f99151a","36305925","1669923594","2022-12-01 19:39:54","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x386e0bfd801e4736a0ff79456086a80402f495098c859c6d81c387bcd2b1c5ff","36305926","1669923596","2022-12-01 19:39:56","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0x166b3c329e66653964cefdc592543bee6485e8a5","","0","0.001439992802214059","0.000287374998907945","0.014559927222372","0.00290568054451075","0.91","","","Transfer"
"0x050588460e91c414c515540c88200fb69e602665175efe177850ba1a002a7187","36305926","1669923596","2022-12-01 19:39:56","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.012639936819454877","0.00252251387930713","0.003359983205145","0.000670541664114319","0.91","","","Transfer"
"0x72b6bc79a4f8ae51ec0472870df404a457cec5bffe8895269a0d659f19027a2c","36305926","1669923596","2022-12-01 19:39:56","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x356723ac143d962b64eb69f50a4128b13f3fe1d349421afdb9ea1ceacd929c2c","36305927","1669923598","2022-12-01 19:39:58","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x8649c84659b9e03ebff7b547c50a02f0a2d8a8e5f2e99180dbc541947546c9ae","36305927","1669923598","2022-12-01 19:39:58","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.012639936819454877","0.00252251387930713","0.003359983205145","0.000670541664114319","0.91","","","Transfer"
"0xb2f8c0ebbcc33e884b67565a2569e9ea2864e8d43f9887c924a3c2c82fa3213a","36305927","1669923598","2022-12-01 19:39:58","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x52ff878418e63cd6b1e09328ad487b5745415e0daa880ac2d2dfe5f9fdc7d8b3","36305928","1669923600","2022-12-01 19:40:00","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x31c41f80b378a561e3e3ebeb0b021062bea7e1e4d70f8819eaad02817eaebcce","36305928","1669923600","2022-12-01 19:40:00","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x18ce35f99a6f82bdb86831e9b36565bbc17b3576ba6648f250dd2232811d81ad","36305929","1669923602","2022-12-01 19:40:02","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xb12145bd2aa5a88cc1de7d800a001a4af1090141","","0","0.011199944017234877","0.002235138880398","0.004799976007365","0.000957916663023449","0.91","","","Transfer"
"0xd2d0e6be081a6057ded338795151a945c1bb27485900d6df10f2610744404ab0","36305929","1669923602","2022-12-01 19:40:02","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0xaf67bb3426f009e9f5632b80d0ce6bf2f70d8dd773cf09f9c24ac60734080f8e","36305930","1669923604","2022-12-01 19:40:04","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.012639936819454877","0.00252251387930713","0.003359983205145","0.000670541664114319","0.91","","","Transfer"
"0xbcca60ac7cd9d816ba5eb4bea6acdf4f6d599d6083ff2330be1349765d2a3df7","36305930","1669923604","2022-12-01 19:40:04","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0xdedd3604ee4e9e2e043f181d6409f0ade949b9f8ed33249777f1aee6c9dc31af","36305931","1669923606","2022-12-01 19:40:06","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x47f9559070a9239fcd986b272b425cab8c525e25793629dabfda77f06682cb9e","36305931","1669923606","2022-12-01 19:40:06","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x75e3db81847d0c544507f8b68a28b2ff1b5840707acc171658d54fcb518b6fab","36305932","1669923608","2022-12-01 19:40:08","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xfded73aaa200a636d77771c512f9000ee7a4c772","","0","0.000000000000000666","0.0000000000000001329116013486","0.015999920024592","0.00319305554341988","0.91","","","Transfer"
"0xfb3908007642bf4630a701a65d72bedb88bce270f4c8e0873154779c0096591b","36305932","1669923608","2022-12-01 19:40:08","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x353d8684ff6b5e2b6458a43028e015bbc0172164ee8c3f6160f6616b6bac9f66","36305933","1669923610","2022-12-01 19:40:10","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xfded73aaa200a636d77771c512f9000ee7a4c772","","0","0.000000000000000666","0.0000000000000001329116013486","0.015999920024592","0.00319305554341988","0.91","","","Transfer"
"0x936814ea067dd71e52379e45ca2a76a2c274a4c13bcddce128dc896d443d3d46","36305933","1669923610","2022-12-01 19:40:10","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x1bfa2cb80bef2bd9b662cd4d55db4a6462d0125bb05d24943be3976aa538c430","36305934","1669923612","2022-12-01 19:40:12","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xfded73aaa200a636d77771c512f9000ee7a4c772","","0","0.000000000000000666","0.0000000000000001329116013486","0.015999920024592","0.00319305554341988","0.91","","","Transfer"
"0x247dd19e03a80bd8150052ab8ea61aed14b6a92bff266b243850753a51a8f2aa","36305934","1669923612","2022-12-01 19:40:12","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x960d21cb375a98bc31f16b11059e2ae1fd664a8baa994f703c20a1cd9e2add73","36305935","1669923614","2022-12-01 19:40:14","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xfded73aaa200a636d77771c512f9000ee7a4c772","","0","0.000000000000000666","0.0000000000000001329116013486","0.015999920024592","0.00319305554341988","0.91","","","Transfer"
"0x0d1400c1379253075e4748aefacc2d272f65d26dd7fdabde42c4f9291778db2d","36305936","1669923616","2022-12-01 19:40:16","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0xf8a389c4bf53ccfe916334345b76d5d0ef39c865ccbe7e34d68d108e1724765a","36305937","1669923618","2022-12-01 19:40:18","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x3bb9cc8c1733b5eeca26a5a829a48703319e19fd80c37220c5c58dc13b812c59","36305938","1669923620","2022-12-01 19:40:20","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0x166b3c329e66653964cefdc592543bee6485e8a5","","0","0.001439992802214059","0.000287374998907945","0.014559927222372","0.00290568054451075","0.91","","","Transfer"
"0x22da41b82dd061ffd5af270d8a89062992699d3e87b9f0a23efb1062802c2b6c","36305938","1669923620","2022-12-01 19:40:20","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x127a15185bacefde087f9539f7322935f5d1550bcc7fdfbdaeef1f4d8a8e044e","36305938","1669923620","2022-12-01 19:40:20","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x18cd8f1b2541d04699b0346eb068b2e4bf961cbc0ef3352f82a7f420581d637c","36305939","1669923622","2022-12-01 19:40:22","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xfded73aaa200a636d77771c512f9000ee7a4c772","","0","0.000000000000000666","0.0000000000000001329116013486","0.015999920024613","0.00319305554342407","0.91","","","Transfer"
"0x928642a6a3d6932e0599a1c075a029781b6d3a50cc1d46d2f3f9da8c1948c6c8","36305939","1669923622","2022-12-01 19:40:22","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x7ee21587390aa06a6543781229baf56d5071a79b2693c473daf47546f3031515","36305940","1669923624","2022-12-01 19:40:24","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xfded73aaa200a636d77771c512f9000ee7a4c772","","0","0.000000000000000666","0.0000000000000001329116013486","0.015999920024592","0.00319305554341988","0.91","","","Transfer"
"0x02f0a76a2b2ba48b521c1c26bb37cb4bc12d1b2b932801d5a151882f16bebdd4","36305940","1669923624","2022-12-01 19:40:24","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x71f31d336e1bbcfe1094cb2af2100ba26aa398ad2f83a3802ac3343231c74ff3","36305941","1669923626","2022-12-01 19:40:26","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0xf9b8298216d68901e65d38ff560920fd9d9e0e882ef76c8a140e483acb34fa13","36305941","1669923626","2022-12-01 19:40:26","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x10c70b94977eeccbd3a838ee0a567d1eda8734a242b1f43241fbf1819124060f","36305942","1669923628","2022-12-01 19:40:28","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0xbb2ce8cc271cc4a8761a8b0f03638b5721de4ecb2b3e233adb1cdb8a7a7722fc","36305942","1669923628","2022-12-01 19:40:28","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0xfd2b6a502ce64489b37b2288814cac55a1f88736e4af6af6776c128553eb3db6","36305942","1669923628","2022-12-01 19:40:28","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x391f247ca7668d2eb724d5fbab2792e97aedb556b7f0a6a72964b3747b62316f","36305943","1669923630","2022-12-01 19:40:30","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xfded73aaa200a636d77771c512f9000ee7a4c772","","0","0.000000000000000666","0.0000000000000001329116013486","0.015999920024634","0.00319305554342826","0.91","","","Transfer"
"0x48ecea6612565090265f6ef1e27f9f5760ee93ddc1354058d2f0c0315ba944d9","36305943","1669923630","2022-12-01 19:40:30","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0x589452b8f65c230fb377fa173a87daa0b70c150787a80b17b8b4452f9e7372e0","36305943","1669923630","2022-12-01 19:40:30","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xdb46d1dc155634fbc732f92e853b10b288ad5a1d","","0","0","0","0.008040080012361623","0.00160453439851899","0.91","","","Transfer From"
"0xf299d0b5d0447740fbd37f39ea6142834748c17d0bb0da25b33ed310d0851d45","36305944","1669923632","2022-12-01 19:40:32","0xf1e2488ad8c0626c94f887d3ab5e68559df4b8bf","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0.015999920024599877","0","0.00319305554342145","0.001680000028077","0.000335272513509555","0.91","","","Transfer"
"0xca0c44cce7c08d09ab89587444d583148fc9926720ccc8ca723a27948b96f920","36305945","1669923634","2022-12-01 19:40:34","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xad77701be0bdab4c6112f761a0ad7dc5de9e9514","","0","0.001916780802948704","0.000382526135066243","0.022042979233905","0.00439905055326078","0.91","","","Transfer"
"0x41d10412e97200422cbec14e50c93f8b1e5f553ac31943f0e68c53e59235010b","36305945","1669923634","2022-12-01 19:40:34","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xcd39154064607af50ae46f15974ca6e2dc926fc2","","0","0.010719946416487877","0.00213934721409356","0.005279973608112","0.00105370832932789","0.91","","","Transfer"
"0x7903e566714dbfaf4f0cf388093fc9cd75e214b984da75f81db5a30304b9d07d","52864051","1706483962","2024-01-28 23:19:22","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xbc0bea8e634ec838a2a45f8a43e7e16cd2a8ba99","","0","0","0","0.0106224","0.00211988017141906","0.79","","","Transfer"
"0x478452e832c1381ea718543505f183635a0edcf07bf4654e400bc8a0e18e142c","52864053","1706483966","2024-01-28 23:19:26","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0xb5d8a2d7e4feba8d4fb105f595ea2a4290001488","","0","0.001310227050911082","0.000261478041241459","0.018067372949094","0.00360565085709609","0.79","","","Transfer"
"0x87a29c2d0a16b90fbd5eb3317737831a5a6400ea7e4de13dc3d49c33ad26492a","53650227","1708222517","2024-02-18 02:15:17","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0x4259abc22981480d81075b0e8c4bb0b142be8ef8","","0","0","0","0.00562225323983094","0.00112201603797769","1.00","","","Transfer"
"0x2f8733f24f3b751a978e8898634af543995dd7ed3ed3158429205c6a1c1399d3","54792472","1710740053","2024-03-18 05:34:13","0xbc79c7139c87df965f0f4c24747f326d1864c5af","0x9fde50b9a95130e63ff2048fad5cd236dc999999","","0","0.000000000000000228","0.0000000000000000455012689301","0.000391990403574","0.0000782283367151564","1.03","","","Transfer"
"0x4b97813d54e310e7831cee78a075ad0fa5e18b206143a9d6b8cf8f4ac1cff3de","74918978","1754587649","2025-08-07 17:27:29","0x0020078c74ff68aca708d568a4d752f3c3851a00","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.00191633076137265","0.00038243632163299","0.24","","","Execute Batch"
"0x3e0f0090ba4e090bc7519534ce5fb827fd2a83872105dadca781dd4da3cc3e92","74923237","1754596699","2025-08-07 19:58:19","0x00a0bf8db3ddceba3336251a2134706fc76b0900","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.0019173447503452","0.000382638680338833","0.24","","","Execute Batch"
"0xd19b6e59f6b3d751e015b74e431a5471240bd6c28ee7b158b06eb97f55d7678c","75686924","1756230465","2025-08-26 17:47:45","0xec10779407fb81cbf900b56398a8f31757b6a7cd","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.006711600350166544","0.0013394137389674","0.24","Error(0)","execution reverted","0x5773341e"
"0xad3899349cca1473a5e6f22ac08cd0322d4260c374b275c0d1f936baea2bef55","75686924","1756230465","2025-08-26 17:47:45","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.007040250367266375","0.00140500142673913","0.24","Error(0)","execution reverted","Withdraw Token"
"0x5ec14151d690eb56c1426d7f0c230849ebbeea82dc56f995fba297ecefdd43e6","75686924","1756230465","2025-08-26 17:47:45","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.013970100723418345","0.00278797065788349","0.24","Error(0)","execution reverted","Withdraw Native"
"0x4cf6149cd34058b178218e96d644c06aec01f44e30033f9ca327a3aa895164fc","75885670","1756654490","2025-08-31 15:34:50","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.003242025012276468","0.00064700110509579","0.28","","","Withdraw Native"
"0xe0f6e989b187529df0b96c9dd64842cb9367af52bfecba9627ca029a5edf87cf","75885739","1756654636","2025-08-31 15:37:16","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.009726075012708738","0.00194100331047368","0.28","","","Withdraw Native"
"0xed5a10718467d995e6858442aad232d5b66ff40c941e3eeec83f04a61f56f4e2","76041208","1756985488","2025-09-04 11:31:28","0xb53fe15f51e5d26bf0e4c4923a206452e5038bc8","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.011589523980159496","0.00231288617277883","0.28","Error(0)","execution reverted","0x5773341e"
"0xbc7409282d62b1f8f093b9e56054988fc02f380b57452798942cde69f8aa1262","76041208","1756985488","2025-09-04 11:31:28","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.00840161726191998","0.001676685291591","0.28","Error(0)","execution reverted","Withdraw Token"
"0xace4d185ea768fdffe6cbaa7087bab47df3d0b5727974d174efb549fb26e7235","76041208","1756985488","2025-09-04 11:31:28","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.008335743284027436","0.00166353902148755","0.28","Error(0)","execution reverted","Withdraw Native"
"0xf20945f71fee6d806da39c6ce4ebcf86276e0dc3931813f2808e5c033a6a202d","76137834","1757190844","2025-09-06 20:34:04","0xb9d00655cae73b4d0905d199150c82d3b124da7c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.006496512887836212","0.00129648938604198","0.27","Error(0)","execution reverted","0x5773341e"
"0xdcbc9a4da2d240a3473d1172f3a4aec2107430aac299af374fe88087d69d0842","76137834","1757190844","2025-09-06 20:34:04","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.006814411280767191","0.0013599314047666","0.27","Error(0)","execution reverted","Withdraw Token"
"0x77545cd933d54d0855f5bd88efe180d14e87037f3a44f6f800105ac9deeb1493","76137834","1757190844","2025-09-06 20:34:04","0x4cf609fc3fd878b34c7ea3d63f732248fd7a5b4c","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.006762711039607139","0.00134961374434214","0.27","Error(0)","execution reverted","Withdraw Native"
"0x3a2c7c2912bcaf25ed56b24ac6f28619fafe32ee1dcc7c3b47dc4415d6de5afd","76137834","1757190844","2025-09-06 20:34:04","0xb53fe15f51e5d26bf0e4c4923a206452e5038bc8","0xbc79c7139c87df965f0f4c24747f326d1864c5af","","0","0","0","0.009935885953572006","0.00198287464400309","0.27","Error(0)","execution reverted","0x5773341e"
